OBJECTID,HUC,WBID,DISTRICT,PLANNING_UNIT,GROUP_NUMBER,GROUP_NAME,WATERBODY_NAME,WATER_TYPE,CLASS,TARGET_PARAMETERS,BACTERIA,NUTRIENTS,METALS,BIOLOGY,FLORA,PESTICIDES,BACT_COUNT,NUTRIENTS_COUNT,METALS_COUNT,BIOLOGY_COUNT,FLORA_COUNT,PESTICIDES_COUNT,FIELD_PARAMETERS,TRACERS_COUNT,MARKERS_COUNT,TRACERS,MARKERS,SHAPEAREA,SHAPELEN
1,03080101,3064A,CD,Lake Poinsett,Group 3,Upper St. Johns,FLORENCE LAKE,LAKE,3F,"Biology, Dissolved Oxygen, Nutrients",,Yes,Yes,Yes,,,0,6,5,1,0,0,Yes,0,0,,,405033.8800375,3565.11013495298
2,03080103,2629,NED,Crescent Lake,Group 2,Lower St. Johns,MIDDLE HAW CREEK,STREAM,3F,"Biology, Dissolved Oxygen",,,,Yes,Yes,,0,0,0,1,1,0,Yes,0,0,,,150502156.808963,111934.570435594
3,03080103,2389,NED,Black Creek,Group 2,Lower St. Johns,DOCTORS LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,13894645.5948375,28326.5260111208
4,03080101,2893Q,CD,St. Johns Marsh,Group 3,Upper St. Johns,LAKE HELEN BLAZES,LAKE,1,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,1059418.4723375,6450.8822438399
5,03080101,2893R,CD,St. Johns Marsh,Group 3,Upper St. Johns,THREE FORKS MARSH,STREAM,1,"Dissolved Oxygen, Nutrients",,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,1650155.14375,5644.96991147841
6,03080103,2299B,NED,Intracoastal Waterway,Group 2,Lower St. Johns,OPEN CREEK (FRESHWATER SEGMENT),STREAM,3F,Metals,Yes,Yes,Yes,,,,1,5,10,0,0,0,Yes,0,0,,,16809552.0711845,21356.3662984397
7,03120003,913,NWD,Telogia Creek,Group 1,Ochlockonee - St. Marks,BIG CREEK,STREAM,3F,"Biology, Nutrients, Pesticides",Yes,Yes,Yes,Yes,Yes,Yes,1,5,10,1,1,5,Yes,0,0,,,23277258.2275125,33780.8089742166
8,03080101,2929B,CD,Wekiva River,Group 2,Middle St. Johns,LAKE NORRIS,LAKE,3F,Nutrients,,Yes,,,,,0,6,0,0,0,0,Yes,0,0,,,4563705.7990875,10844.7222220385
9,03140106,291,NWD,Perdido River,Group 5,Perdido,JACKS BRANCH,STREAM,3F,Biology,Yes,,,Yes,Yes,,7,0,0,1,1,0,Yes,0,0,,,43573295.367575,50422.0155959074
10,03100202,1923,SWD,Manatee River,Group 2,Tampa Bay Tributaries,RATTLESNAKE SLOUGH,STREAM,1,"Biology, Dissolved Oxygen",Yes,,,,,,1,0,0,1,1,0,Yes,0,0,,,10747833.434925,16641.0694107906
11,03080103,2265A,NED,North Mainstem,Group 2,Lower St. Johns,ARLINGTON RIVER,ESTUARY,3M,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,4104056.7343125,9140.0039892379
12,03080102,2772D,CD,Marshall Swamp,Group 1,Ocklawaha,SILVER RIVER (LOWER),STREAM,3F,Flora,Yes,Yes,,,Yes,,5,1,0,0,1,0,Yes,0,0,,,698718.8290125,7939.01617739304
13,03140107,872B,NWD,Perdido Bay,Group 5,Perdido,BRIDGE CREEK (TIDAL PORTION),ESTUARY,3M,"Dissolved Oxygen, Nutrients",,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,1192436.3464375,7204.15520424184
14,03110205,3422L,NED,Middle Suwannee,Group 1,Suwannee,RUTH SPRING,SPRING,3F,Nutrients,Yes,Yes,,,,,5,2,0,0,0,0,Yes,0,0,,,6166.0893125,278.569520464853
15,03080102,1362Z,CD,Lake Harris,Group 1,Ocklawaha,BUGG SPRING,SPRING,3F,Nutrients,,Yes,,,,,0,2,0,0,0,0,Yes,0,0,,,17437.9755625,468.322567203882
16,03090101,3170I2,CD,Upper Kissimmee,Group 4,Kissimmee River,PANTHER LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,6,0,3,0,0,Yes,0,0,,,294031.3768875,4949.76500657371
17,03100208,1329S1,CD,Lower Withlacoochee,Group 4,Withlacoochee,BLUE SPRING RUN (CITRUS COUNTY),STREAM,3F,"Biology, Flora",,Yes,,Yes,Yes,,0,5,0,1,1,0,Yes,0,0,,,30545.8954875,1473.35826155554
18,03110102,3724,NED,Other Coastal,Group 1,Suwannee,DIRECT RUNOFF TO GULF,ESTUARY,2,"Microbiology, Nutrients",Yes,Yes,,,,,5,7,0,0,0,0,Yes,0,0,,,60779190.919575,55817.5447324877
